1,0,4,0,25,0,0,19,0,0,10,0,21,8,0,14,0,0,6,12,9,0,0,0,0,0,0,0,5,0,23,21,0,0,1,0
5,0,19,23,24,0,0,22,12,0,0,0,16,6,0,20,0,0,18,0,25,14,13,0,10,11,0,1,15,0,14,1,3,32,0,13
0,0,0,0,0,0,0,21,5,0,20,0,11,10,0,1,0,0,4,8,24,23,15,0,18,0,16,22,19,0,0,7,19,0,0,12
0,7,21,8,18,28,0,0,0,11,0,28,5,0,0,24,0,28,0,0,17,22,1,28,9,6,25,0,0,28,0,15,11,0,0,0
0,13,15,0,22,0,14,0,18,0,16,0,0,0,0,4,0,0,0,0,19,0,0,0,0,24,20,21,17,0,4,6,12,0,23,0
0,27,0,0,0,29,0,0,30,0,0,31,0,0,0,34,0,0,0,0,36,0,0,31,0,0,0,30,0,36,0,0,0,30,0,0
12,0,11,0,6,0,0,0,0,0,15,0,0,0,0,0,21,0,25,19,0,4,0,0,22,14,0,20,0,0,0,13,0,0,0,6
8,0,0,21,0,0,16,0,0,0,2,0,0,3,0,0,0,0,0,17,23,18,22,0,0,0,0,24,6,0,0,20,0,0,0,2
4,0,14,18,7,0,9,0,22,21,19,0,0,0,0,2,0,0,5,0,0,0,6,0,16,15,0,11,12,0,25,0,0,0,22,3
22,0,24,0,23,0,0,0,11,0,7,0,0,0,4,0,14,0,0,2,12,0,8,0,5,19,0,25,9,0,16,2,0,33,0,25
20,0,0,0,5,0,0,0,0,0,17,0,9,0,12,18,0,0,1,0,0,7,24,0,0,0,0,13,4,0,6,17,1,0,0,0
0,27,0,0,0,29,0,0,30,0,0,31,0,0,0,34,0,0,0,0,36,0,0,31,0,0,0,30,0,36,30,0,0,31,0,0
13,0,0,5,0,0,2,23,14,4,18,0,22,0,17,0,0,0,20,0,1,9,21,0,12,0,0,8,11,0,18,0,0,32,13,4
14,23,0,24,0,0,0,0,0,0,0,0,0,0,20,25,0,0,3,4,13,0,11,0,21,9,5,18,22,0,8,0,21,0,17,0
7,0,0,11,17,0,20,24,0,0,0,0,3,4,1,12,0,0,0,6,14,0,5,0,25,13,0,0,0,0,0,0,20,0,5,16
0,0,16,9,0,0,17,11,7,10,25,0,0,0,0,13,6,0,0,0,18,0,0,0,19,4,0,0,20,0,24,0,0,0,8,10
6,15,0,19,4,17,13,0,0,5,0,17,18,11,0,0,9,17,8,22,16,25,10,17,7,0,0,0,0,17,0,0,0,31,14,21
0,27,0,0,0,29,0,0,30,0,0,31,0,0,0,34,0,0,0,0,36,0,0,31,0,0,0,30,0,36,30,0,0,31,0,0
0,0,0,2,0,0,0,10,19,3,0,0,1,0,22,9,4,0,11,15,0,20,0,0,0,8,23,0,25,0,12,10,0,0,25,14
0,24,8,13,1,0,0,0,4,20,0,0,17,14,0,0,18,0,0,16,22,5,0,0,11,0,10,0,0,0,0,0,6,0,0,0
23,10,0,0,0,0,0,0,0,18,0,0,6,0,16,0,0,0,17,1,0,13,0,0,0,3,19,12,0,0,0,0,0,30,0,0
25,5,0,14,11,0,0,17,0,8,24,0,13,0,19,23,15,0,9,0,0,12,0,0,20,0,22,0,7,0,0,0,0,0,7,15
0,0,17,4,0,30,22,15,0,23,11,30,12,25,0,0,0,30,0,18,8,0,7,30,0,0,14,0,13,30,13,18,14,0,20,1
0,27,0,0,0,29,0,0,30,0,0,31,0,0,0,34,0,0,0,0,36,0,0,31,0,0,0,30,0,36,22,0,7,0,18,6
