1,0,4,0,25,0,19,0,0,10,21,8,0,14,0,6,12,9,0,0,0,0,0,0,5
5,0,19,23,24,0,22,12,0,0,16,6,0,20,0,18,0,25,14,13,10,11,0,1,15
0,0,0,0,0,0,21,5,0,20,11,10,0,1,0,4,8,24,23,15,18,0,16,22,19
0,7,21,8,18,0,0,0,11,0,5,0,0,24,0,0,0,17,22,1,9,6,25,0,0
0,13,15,0,22,14,0,18,0,16,0,0,0,4,0,0,0,19,0,0,0,24,20,21,17
12,0,11,0,6,0,0,0,0,15,0,0,0,0,21,25,19,0,4,0,22,14,0,20,0
8,0,0,21,0,16,0,0,0,2,0,3,0,0,0,0,17,23,18,22,0,0,0,24,6
4,0,14,18,7,9,0,22,21,19,0,0,0,2,0,5,0,0,0,6,16,15,0,11,12
22,0,24,0,23,0,0,11,0,7,0,0,4,0,14,0,2,12,0,8,5,19,0,25,9
20,0,0,0,5,0,0,0,0,17,9,0,12,18,0,1,0,0,7,24,0,0,0,13,4
13,0,0,5,0,2,23,14,4,18,22,0,17,0,0,20,0,1,9,21,12,0,0,8,11
14,23,0,24,0,0,0,0,0,0,0,0,20,25,0,3,4,13,0,11,21,9,5,18,22
7,0,0,11,17,20,24,0,0,0,3,4,1,12,0,0,6,14,0,5,25,13,0,0,0
0,0,16,9,0,17,11,7,10,25,0,0,0,13,6,0,0,18,0,0,19,4,0,0,20
6,15,0,19,4,13,0,0,5,0,18,11,0,0,9,8,22,16,25,10,7,0,0,0,0
0,0,0,2,0,0,10,19,3,0,1,0,22,9,4,11,15,0,20,0,0,8,23,0,25
0,24,8,13,1,0,0,4,20,0,17,14,0,0,18,0,16,22,5,0,11,0,10,0,0
23,10,0,0,0,0,0,0,18,0,6,0,16,0,0,17,1,0,13,0,0,3,19,12,0
25,5,0,14,11,0,17,0,8,24,13,0,19,23,15,9,0,0,12,0,20,0,22,0,7
0,0,17,4,0,22,15,0,23,11,12,25,0,0,0,0,18,8,0,7,0,0,14,0,13
19,6,23,22,8,0,0,1,25,4,14,2,0,3,7,13,10,11,16,0,0,0,0,0,0
0,4,0,17,0,3,0,24,0,8,20,23,11,10,25,22,0,0,0,12,13,2,18,6,0
0,0,7,16,0,0,6,17,2,21,0,18,0,0,0,19,0,0,8,0,0,0,0,4,0
18,9,25,1,2,11,0,0,13,22,4,0,21,0,5,0,23,7,0,0,15,0,3,0,8
0,21,10,0,0,12,0,20,16,0,19,0,0,0,0,15,14,4,2,18,23,25,11,7,0
0,0,0,0,0,0,0,19,4,10,12,20,17,1,16,7,14,18,0,0,0,15,11,8,0
0,3,0,0,12,17,24,0,11,2,0,0,0,13,0,5,20,22,1,0,0,0,23,0,0
0,7,20,0,4,13,25,1,8,0,3,0,15,0,5,9,2,0,0,23,0,0,19,0,24
22,5,1,13,19,0,0,9,23,0,4,0,14,10,25,15,0,0,0,11,0,0,20,18,0
15,0,21,10,17,0,0,3,12,5,0,18,0,0,0,0,0,4,19,25,0,13,22,7,0
20,0,0,0,0,0,0,23,21,0,1,0,22,0,7,18,6,19,14,0,24,11,4,12,17
0,0,0,21,0,10,20,14,1,3,0,13,6,11,18,2,16,23,22,0,0,0,0,15,5
13,14,25,6,0,0,18,0,7,19,0,12,0,4,21,1,3,5,0,8,0,0,2,20,16
12,16,0,8,0,0,5,0,15,11,0,0,0,24,0,13,4,9,21,0,0,0,18,19,14
7,0,0,0,0,2,8,4,6,12,23,0,0,0,0,0,0,0,0,0,0,0,0,9,1
0,0,5,0,0,0,0,0,13,0,0,6,1,19,0,3,8,7,12,15,11,24,0,22,18
3,0,6,1,8,0,0,0,20,0,0,2,10,0,13,14,9,21,11,22,0,17,16,0,0
10,0,17,16,0,7,9,25,0,0,22,3,0,0,11,0,5,0,0,0,0,14,13,0,0
21,19,4,22,15,18,11,16,2,0,0,25,7,14,0,0,10,0,17,1,0,0,0,3,0
0,0,12,14,7,0,0,6,17,1,0,0,20,5,0,19,0,0,16,24,9,8,0,0,21
5,11,10,0,0,0,19,18,0,0,13,4,0,0,2,8,15,14,0,16,7,0,0,25,20
2,9,0,20,0,1,10,8,0,21,17,0,0,7,0,4,22,3,0,5,12,0,15,23,0
0,15,0,12,0,4,23,0,0,20,5,16,0,0,0,0,11,1,0,18,21,0,24,14,0
19,1,13,0,23,3,12,24,0,0,8,10,0,9,0,20,17,6,0,0,0,0,0,11,0
0,8,16,25,0,0,13,0,0,0,14,21,0,0,0,0,0,2,0,0,3,0,17,10,0
0,0,0,0,16,5,0,12,10,0,25,14,8,0,19,17,0,15,0,20,0,1,0,0,23
23,12,0,7,13,8,0,0,0,6,0,0,0,2,22,21,1,10,24,9,16,3,14,0,19
1,0,24,5,20,15,0,0,0,0,0,0,0,0,12,25,0,0,2,0,18,22,21,17,10
0,10,0,0,6,19,0,0,0,0,7,15,5,16,3,12,23,11,0,0,0,0,9,0,2
0,0,19,0,9,0,4,13,18,14,20,1,24,0,10,0,0,0,0,0,0,0,12,0,0
