0,0,0,0,5,0,0,8,0,10,0,0,0,0,15,0
0,6,7,0,1,0,3,0,0,0,0,16,9,0,0,0
9,0,0,12,0,0,0,16,0,2,3,0,0,6,7,0
13,0,15,0,9,10,0,0,5,6,7,0,0,2,0,4
2,0,4,3,0,5,0,0,10,9,12,0,14,0,0,15
6,5,8,0,0,0,0,0,14,0,0,0,0,0,0,11
0,0,0,0,0,13,0,15,0,0,4,0,0,0,8,0
0,13,0,0,10,0,12,0,0,0,0,7,2,1,0,0
0,0,1,2,7,0,0,6,0,12,9,0,0,16,13,0
0,0,0,0,0,4,0,2,15,0,13,14,0,12,9,0
11,0,9,10,15,0,0,0,0,4,1,2,0,0,0,6
15,16,0,0,0,0,0,0,0,0,5,0,3,0,0,0
4,3,0,0,8,0,6,0,0,0,0,9,0,0,0,13
8,7,6,0,4,0,0,1,0,0,14,13,12,11,0,0
12,11,0,0,0,0,14,0,0,3,2,1,0,7,0,5
0,0,14,0,0,11,10,9,8,0,0,0,0,0,0,1
1,2,0,0,0,0,7,0,9,0,0,12,0,0,15,0
0,6,0,8,0,0,3,4,0,14,15,0,9,0,0,0
0,0,11,0,0,0,0,0,1,0,0,4,5,6,7,8
0,14,0,16,9,0,0,0,5,6,0,0,1,2,0,4
2,0,4,3,6,5,0,0,0,0,12,0,14,13,0,0
0,5,8,0,2,0,4,0,0,0,0,15,0,0,0,11
0,9,12,0,0,13,16,0,0,1,0,0,6,0,8,7
14,0,0,0,0,9,0,11,0,0,0,7,0,0,0,0
3,4,0,0,0,0,0,6,11,0,0,0,0,16,0,14
7,0,5,0,3,0,0,0,0,16,0,0,0,12,9,0
0,0,0,10,15,0,13,14,3,0,1,0,7,8,0,0
0,0,13,0,0,12,0,10,0,0,5,6,0,0,1,2
0,0,2,0,8,7,0,0,0,11,10,0,0,0,0,13
0,0,0,0,4,0,0,1,16,15,14,0,0,11,10,9
12,0,0,0,0,15,0,13,0,0,2,1,0,0,6,0
16,0,14,13,0,0,10,0,8,0,0,5,0,3,2,1
